,Filter,Orignal
0,understand would like assist would need get private secured link assist,@115712 I understand. I would like to assist you. We would need to get you into a private secured link to further assist.
1,propose,@sprintcare and how do you propose we do that
2,sent several private messages one responding usual,@sprintcare I have sent several private messages and no one is responding as usual
3,please send us private message assist click message top profile,@115712 Please send us a Private Message so that we can further assist you. Just click ‘Message’ at the top of your profile.
4,,@sprintcare I did.
5,please send us private message gain details account,"@115712 Can you please send us a private message, so that I can gain further details about your account?"
6,worst customer service,@sprintcare is the worst customer service
7,saddening hear please shoot us dm look,"@115713 This is saddening to hear. Please shoot us a DM, so that we can look into this for you. -KC"
8,gon na magically change connectivity whole family,@sprintcare You gonna magically change your connectivity for me and my whole family ? 🤥 💯
9,understand concerns wed like please send us direct message assist,"@115713 We understand your concerns and we'd like for you to please send us a Direct Message, so that we can further assist you. -AA"
10,since signed yousince day,@sprintcare Since I signed up with you....Since day 1
11,h there wed definitely like work this long experiencing issue,"@115713 H there! We'd definitely like to work with you on this, how long have you been experiencing this issue? -AA"
12,yall lie “ great ” connection bars lte still wont load something smh,"@115714 y’all lie about your “great” connection. 5 bars LTE, still won’t load something. Smh."
13,please send private message send link access account,@115715 Please send me a private message so that I can send you the link to access your account. -FR
14,whenever contact customer support tell shortcode enabled account never years ive tried,"@115714 whenever I contact customer support, they tell me I have shortcode enabled on my account, but I have never in the 4 years I've tried https://t.co/0G98RtNxPK"
15,information incorrect,@115716 What information is incorrect? ^JK
16,would like email copy one since spectrum updating training,@Ask_Spectrum Would you like me to email you a copy of one since Spectrum is not updating your training?
17,department part corporate office particular area gone format unawa,"@115716 Our department is part of the corporate office.  If you're particular area has gone to this format, we were unawa... https://t.co/P7XCmTzPQj"
18,received corporate office would like copy,@Ask_Spectrum I received this from your corporate office would you like a copy?
19,thank,@115716 No thank you. ^JK
20,correct way via ocs account takeover email consent form need done local office,@Ask_Spectrum The correct way to do it is via an OCS Account Takeover and email Consent Form it does not need to be done in a local office
21,incorrect information form front faxed overmaybe need maintain date information,@Ask_Spectrum That is INCORRECT information I have the form in front of me that is faxed over-maybe you need to maintain up to date information
22,information pertaining account assumption correct need done local outlet wi,@115716 The information pertaining to the account assumption is correct.  This does need to be done at a local outlet wit... https://t.co/P7XCmTzPQj
23,actually thats broken link sent incorrect information,actually that's a broken link you sent me and incorrect information https://t.co/V4yfrHR8VI
24,hello apologies frustrations inconvenience id happy look you,"@115717 Hello, My apologies for any frustrations or inconvenience. I’d be happy to look into this for you? ^MG"
25,yo customer service reps super nice— imma start trippin yall dont get service going,"Yo @Ask_Spectrum, your customer service reps are super nice— but imma start trippin if y’all don’t get my service going!"
26,apologize inconvenience glad assist dm name acct phone,@115718 I apologize for the inconvenience. I will be glad to assist you. Can you DM me your Name and acct # or phone #? -JB
27,picture pretty much every day pay per month,My picture on @Ask_Spectrum pretty much every day. Why should I pay $171 per month? https://t.co/U6ptkQa5Ik
28,help arrived sorry see trouble help hsb,"@115719 Help has arrived! We are sorry to see that you are having trouble. How can we help?
^HSB"
29,finally got someone helped me thanks,"@VerizonSupport I finally got someone that helped me, thanks!"
30,awesome ever need us tweet away hsb,"@115719 Awesome! If you ever need us we are just a tweet away.
^HSB"
31,somebody please help meeeeee im worst luck customer service,somebody from @VerizonSupport please help meeeeee 😩😩😩😩 I'm having the worst luck with your customer service
32,friend message us acm,"@115720 Have your friend message us.
^ACM"
33,friend without internet need play videogames together please skills diminish every moment without internetz,@VerizonSupport My friend is without internet we need to play videogames together please our skills diminish every moment without internetz
34,please follow dm us look order,"@115721 Please follow and DM us so that we can look into this order. 
^HSB"
35,else provide refuse help can not validate accoun,@VerizonSupport What else can I provide? They refuse to help me because they cannot validate the account...
36,would able verify anything without authenticating account jay,"@115721 We would not be able to verify anything without authenticating your account.
^JAY"
37,how phone number email thats get equipment service im literally trying pay nobody find me,"@VerizonSupport How? I have my phone number and email, that's it. How did I get equipment and service? I'm literally trying to pay and nobody can find me?"
38,use order number locate account need secure one one chat please follow dm us,"@115721 We can use the order number to locate the account but will need to do so in our secure one on one chat. Please follow and DM us. 
^HSB"
39,md sent wrong address,@115722 MD. And this was sent to the wrong address https://t.co/dMQ1WZXJOk
40,hello duke copy bill state services located in nhp,"@115721 Hello Duke, Do you have a copy of your bill? What state are your services located in?
^NHP"
41,nobody find account number walked store ive explained find acct via devices serial,@115722 Nobody can find my account or number. I walked out of a store with this. I've explained that they can find my acct via my devices serial #..
42,referring wireless residential service jay,"@115721 Are you referring to wireless or residential service?
^JAY"
43,tried pay bill days service rude cs several transfers look equipment give acct,"@115722 tried to pay a bill for 60 days. No service, rude CS, and several transfers. Look up my equipment # and give me an acct #!"
44,light top red jay,"@115723 Is the light on top red?
^JAY"
45,dont know router downstairs its wifi nothing connected ethernet,"@VerizonSupport Don’t know, router is downstairs. But it’s just the WiFi Nothing connected to Ethernet"
46,lights change router happened jay,"@115723 Did the lights change on the router when this happened?
^JAY"
47,randomly boots offline goes,@VerizonSupport Just randomly boots me offline there it goes again
48,fios service services go out internet light router change color,"@115723 Do you have our Fios service?  When services go out, does the internet light on the router change color? ^BCW"
49,yep,@VerizonSupport Yep
50,services cutting out acm,"@115723 Are all your services cutting out?
^ACM"
51,cuts every minutes ridiculous,@VerizonSupport Cuts out every 20 minutes this is ridiculous
52,make feel way fix things us,@115723 What did we do to make you feel this way and how can we fix things between us? ^KMG
53,worst isp ive ever,@115722 is the worst ISP I’ve ever had
54,area located services time hsb,"@115724 In what area are you located? All of your services are down at this time?
^HSB"
55,gtall verizon downlt expect fix,".@VerizonSupport @115725 @115726                                                 &gt;All of VERIZON IS DOWN&lt;
When can we expect a fix ?"
56,app referring too,"@115727 Which app are you referring too? 
^ACM"
57,fix app even open,@115725 fix your app it won't even open
58,still think look great,@115728 I still think you look great! -Becky
59,becky nice,@ChipotleTweets @ChipotleTweets Becky is very nice
60,fit veggie burrito costume,"@ChipotleTweets @28 
I don't fit in my Veggie Burrito costume #Halloween https://t.co/7tJDVpzLWn"
61,im sorry please tell us help,@115729 I'm so sorry about that. Please tell us more so we can help: https://t.co/Ax7W1Dx3Y9 -Becky
62,messed today didnt give burrito although dressed,@ChipotleTweets messed up today and didn’t give me my $3 burrito although I was dressed up 😭
63,hopefully well get point,@115730 Hopefully we'll get there at some point! -Becky
64,hey wan na come mammoth ill least eat week promise,hey @ChipotleTweets wanna come to Mammoth. I'll at least eat there once a week i promise
65,guac on im happy great experience,@115731 Guac on! I'm happy it was such a great experience. -Becky
66,excellent service tonight too plenty people line went fast everyone kind,"@ChipotleTweets I had excellent service tonight too! Plenty of people on the line, went very fast, everyone was kind!"
67,smart,@115731 It's because you're smart. -Tara
68,one costume,When you're the only one in costume #boorito @ChipotleTweets
69,thats incredibly concerning please tell us here,@115732 That's incredibly concerning. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky
70,diet coke literal bone boorito extra spooky,@ChipotleTweets no Diet Coke and a literal bone this Boorito was extra spooky! https://t.co/C4oCCtdUct
71,nope still,@115733 Nope! Still just the $3. -Becky
72,get queso quac bowl extra,"@ChipotleTweets If you get queso or quac on you're bowl, its extra?"
73,stop costume pmclose official rules,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z
74,mean boorito basically adult version halloween,"@115734 I mean, Boorito is basically the adult version of Halloween... -Becky"
75,happy halloween since im old trick treat look forward booritos got mine earlier you,"Happy Halloween! Since I'm too old to trick or treat I now look forward to $3 booritos at @ChipotleTweets 👻 I got mine earlier, did you?"
76,im glad could help work with id like share praise,@115735 I'm so glad we could help. Who did you work with? I'd like to share the praise. -Becky
77,thank resolving issue quickly yall best,@ChipotleTweets Thank you @ChipotleTweets for resolving my issue so quickly!! Y’all are the best ☺️ #fanforlife
78,frustrated ordered dinner saturday using app order wrong charged credit card twice,So frustrated with @ChipotleTweets 😡 Ordered dinner on Saturday using their app. Order was wrong AND they charged my credit card twice
79,us locations participating,@115736 All of our U.S. locations are participating! -Becky
80,btw giving burritos dress halloween call chipotle make sure theyre select ones,"Btw @ChipotleTweets giving out $3 burritos if you dress up for Halloween 🎃 Call your Chipotle to make sure, they’re doing it @ select ones"
81,apologies sent dm help,@115737 My apologies for that. Just sent you a DM to help. -Becky
82,tried work rude,"@ChipotleTweets Tried, didn't work. How rude :/"
83,give try,@115737 Give it a try. -Tara
84,dress still qualify boorito,@ChipotleTweets can I dress up as myself and still qualify for a BOORITO?
85,thats best kind trickortreating treats friend,"@115738 That's the best kind of trick-or-treating. All treats, my friend. -Becky"
86,every year trickortreating routine walking chipotle spending dollars walking back home,"Every year, my trick-or-treating routine is walking to Chipotle, spending 3 dollars and walking back home. @ChipotleTweets"
87,thats incredibly concerning please provide details investigate,@115739 That's incredibly concerning. Please provide more details so we can investigate: https://t.co/Ax7W1Dx3Y9 -Becky
88,nasty used napkin someones food,@ChipotleTweets this is nasty. A used napkin in someone's food https://t.co/EkWiD9vhnr
89,bummer im sorry far away closest location,@115740 Bummer. I'm so sorry. How far away is the closest location? -Becky
90,burritos im nowhere near ‍,$3 burritos and I’m nowhere near a @ChipotleTweets 🤦🏾‍♂️
91,noted,@115741 Noted 😊 -Becky
92,also got onesie target cozy,@ChipotleTweets Also I got the onesie at target. So cozy
93,thanks becky feeling sorry fiancé driving dc mississippi tonight,@ChipotleTweets Thanks Becky! Just feeling sorry for myself because my fiancé is driving from D.C. To Mississippi tonight
94,alone – well also want llama onesie,"@115741 You won't be alone – we'll be there with you. Also, I want that llama onesie. -Becky"
95,considering walking llama onesie alone happy halloween,Considering walking to @ChipotleTweets in my llama onesie alone happy Halloween 😭
96,love it thanks much stopping,@115742 I love it! Thanks so much for stopping by. -Becky
97,name better halloween duo,@ChipotleTweets name a better halloween duo #speedwaybrick #UTtranscript https://t.co/5ShDRMlC1T
98,info share moment feel free keep eye ps blog news updates,@115743 There is no info to share at the moment. Feel free to keep an eye on the PS Blog for news and updates: https://t.co/aLtfBAztyC
99,get help already,@AskPlayStation @115743 Can I get help already??
100,so whats november ps plus free game,"@AskPlayStation So, what's the november ps plus free game?"
101,glad know downloading please feel free contact us concerns,"@115745  Glad to know that is downloading, please feel free to contact us if you have further concerns."
102,would go download waited hours till bought downloaded,@AskPlayStation It was when I would go to download it. I just waited a few hours till after I bought it and it downloaded now.
103,sorry inconvenience see data corrupted message try open game download it,@115745 Sorry for the inconvenience. Do you see the data corrupted message when you try to open the game or download it?
104,bought lego star wars playstation store let download data corrupted,@AskPlayStation I bought Lego Star Wars in the PlayStation store but it won't let me download it because the data is corrupted..
105,glad help please share details issue community forum investigation,@115746  Glad to help.  Please share the details of this issue in our Community forum for further investigation: https://t.co/F3J4l2vJHb
106,block community sending invites something dont want join,@AskPlayStation can i block a community from sending me invites to something i dont want to join
107,glad fun sarah heard count collin really suck life party p,"@115747 Glad you had fun, Sarah! We heard Count Collin can really suck the life out of the party  . . . :P"
108,count colin xx,We had to have a Count Colin 💛 @marksandspencer xx... https://t.co/HVWkevFsKB
109,weve let team know better joel thanks sharing,"@115748 We've let our team know we can do better, Joel. Thanks for sharing :)"
110,ere never mind avocado hows ave word really necessary pair em suffocating,"‘Ere @marksandspencer, never mind avocado 🥑 - How’s about ‘ave a word?
Is it really necessary? 

The pair of ‘em were suffocating. https://t.co/ff2bmOVido"
111,were obligated provide bags unpackaged meat prepackaged charge applied,"@115749 We're only obligated to provide bags for un-packaged meat. As ours is prepackaged, a charge will be applied"
112,raw meat its say unwrapped raw meat sainsburys dont charge waitrose you,@marksandspencer Raw meat!!!! It’s does not say unwrapped raw meat!!! Sainsbury’s don’t charge nor do Waitrose so y do you?!
113,packaging sufficient extra wrappings bags require extra p charge per legislation thanks,"@115749 As our packaging is sufficient, any extra wrappings or bags does require an extra 5p charge as per legislation. Thanks"
114,check gov office legal stated right its funny stores dont wonder lidl rest beating,@marksandspencer I check with the Gov office and legal. They stated you are not right. But it’s funny how the other stores don’t but you do. No wonder Lidl and the rest are beating you.
115,ou must charge least p bag including vat carrier bags following unused its new hasnt already used sold goods taken away delivered plastic microns thick less handles opening isnt sealed,"@marksandspencer ou must charge at least 5p a bag (including VAT) for carrier bags that are all of the following:

unused - it’s new and hasn’t already been used for sold goods to be taken away or delivered
plastic and 70 microns thick or less
it has handles, an opening and isn’t sealed"
116,arent require charge bag paper bags shops airports board trains aeroplanes ships bags contain certain items unwrapped food raw meat fish food safety risk prescription medicines uncovered blades seeds bulbs amp,"@marksandspencer aren’t require charge 4 a bag:
paper bags
shops in airports, or on board trains, aeroplanes or ships
bags which only contain certain items, such as unwrapped food, raw meat and fish where there is a food safety risk, prescription medicines, uncovered blades, seeds, bulbs &amp; 🌷s"
117,charge meat bag colliers woods branch buy meat r required supply customers free bag poor service,@marksandspencer y do they charge you for a meat bag at colliers woods branch. If you buy meat you r required to supply customers a free bag. Poor service.
118,love aesthetic colin creeperpillar someday,@115750 Love the aesthetic of your Colin the 'Creeperpillar' and someday.... 🐛🦋👻 https://t.co/LFubix5E4y
119,excellent halloweening,Excellent Halloweening @marksandspencer 👌🏼 #countcolin #halloween #food https://t.co/lq1cSooHdj
120,hello josh get better assistance support suggest post tweet dm friends,"@115751 Hello, Josh! To get better assistance and support, we suggest that you post a tweet or DM our friends from @XboxSupport."
121,brilliant thank you,"@MicrosoftHelps @XboxSupport Brilliant, thank you!"
122,hi trouble making purchases xbox one store fifa points help,"@MicrosoftHelps hi, having trouble making purchases on Xbox one store for fifa points, can you help?"
123,help assist recovering account recommend contact answer desk team,@115752 Help is here. To assist you in recovering your account we recommend that you contact our Answer desk team: https://t.co/7zSM1QXPMD.
124,need assistance recovering hotmail accounts filled recovery forms told providing enough info,@MicrosoftHelps I need assistance recovering 2 hotmail accounts. I have  filled the recovery forms but am told am not providing enough info
125,appears removed thanks letting know,@115753 It appears this has been removed. Thanks for letting me know :) ^MB
126,umm someone streaming wwii viewers,@ATVIAssist @115754 umm someone is streaming WWII with 500+ viewers https://t.co/AhBT7AZZSz
127,problem let us know come across issues questions future happy help,"@115755  No problem, let us know if you come across any other issues or questions in the future. We are happy to help. ^RK"
128,im trying buy digital deluxe edition ps store keep receiving error message,@ATVIAssist @115755 I'm trying to buy the digital deluxe edition on the ps store but I keep receiving an error message
129,hello sorry late response checking still need assistance please let know,@115756  Hello there. Sorry for the late response. I am just checking if you still in need assistance. Please let me know. ^RN
130,thanks,@ATVIAssist Thanks
131,yes pre order game console store information please contact console store,@115755 Yes you can pre order the game on the console store. For more information please contact your console store. ^RK
132,still pre oder ww playstation store,@ATVIAssist can you still pre oder ww2 on the playstation store
133,good afternoon william unfortunately app longer supported sincerest apologies,"@115757 Good afternoon William, unfortunately this app is no longer supported. Sincerest apologies. ^JP"
134,yous going update cod zombies ios ios,@115758 @ATVIAssist Are yous going to update COD Zombies on IOS for IOS 11.
